Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Overall Efficiency
2198.0,1023.15,6.0,225.0,0.1,0.4,3.269119674012658
2197.0,1023.15,6.0,225.0,0.1,0.3,3.2691195492806915
2196.0,1023.15,6.0,225.0,0.1,0.2,3.269119200099176
2195.0,1023.15,6.0,225.0,0.1,0.1,3.2691177701391303
2194.0,1023.15,6.0,225.0,0.0775,0.5,3.26910359275778
2183.0,1023.15,6.0,225.0,0.0325,0.4,3.262015999440594
2182.0,1023.15,6.0,225.0,0.0325,0.3,3.262015914677981
2181.0,1023.15,6.0,225.0,0.0325,0.2,3.262015677478165
2180.0,1023.15,6.0,225.0,0.0325,0.1,3.262014706475799
2148.0,1023.15,6.0,150.0,0.1,0.4,3.258409542859683
2147.0,1023.15,6.0,150.0,0.1,0.3,3.2584091225132843
2146.0,1023.15,6.0,150.0,0.1,0.2,3.2584079485592325
2145.0,1023.15,6.0,150.0,0.1,0.1,3.258403152480963
2144.0,1023.15,6.0,150.0,0.0775,0.5,3.2583557178228504
2218.0,1023.15,6.0,262.5,0.0775,0.4,3.2409495686850454
2217.0,1023.15,6.0,262.5,0.0775,0.3,3.240949411085742
2216.0,1023.15,6.0,262.5,0.0775,0.2,3.2409489696993266
2215.0,1023.15,6.0,262.5,0.0775,0.1,3.2409471613335006
2214.0,1023.15,6.0,262.5,0.055,0.5,3.2409292238966785
2199.0,1023.15,6.0,225.0,0.1,0.5,3.231751748528871
2238.0,1023.15,6.0,300.0,0.055,0.4,3.2181528068761445
2237.0,1023.15,6.0,300.0,0.055,0.3,3.2181526147869444
2236.0,1023.15,6.0,300.0,0.055,0.2,3.218152076627387
2235.0,1023.15,6.0,300.0,0.055,0.1,3.2181498710397767
2234.0,1023.15,6.0,300.0,0.0325,0.5,3.218127985927754
2223.0,1023.15,6.0,262.5,0.1,0.4,3.207909296511893
2222.0,1023.15,6.0,262.5,0.1,0.3,3.2079091532929254
2221.0,1023.15,6.0,262.5,0.1,0.2,3.207908752112859
2220.0,1023.15,6.0,262.5,0.1,0.1,3.207907108187329
2219.0,1023.15,6.0,262.5,0.0775,0.5,3.207890798890736
2243.0,1023.15,6.0,300.0,0.0775,0.4,3.188543910691948
2242.0,1023.15,6.0,300.0,0.0775,0.3,3.1885437356356405
2241.0,1023.15,6.0,300.0,0.0775,0.2,3.188543245122422
2240.0,1023.15,6.0,300.0,0.0775,0.1,3.1885412345025013
2239.0,1023.15,6.0,300.0,0.055,0.5,3.1885212807982604
1674.0,973.15,8.0,187.5,0.1,0.5,3.185935930345445
1673.0,973.15,8.0,187.5,0.1,0.4,3.185934432379519
1672.0,973.15,8.0,187.5,0.1,0.3,3.1859283127381426
1671.0,973.15,8.0,187.5,0.1,0.2,3.1858677882823923
2174.0,1023.15,6.0,187.5,0.1,0.5,3.1498430116639686
2168.0,1023.15,6.0,187.5,0.0775,0.4,3.1464347136348207
2167.0,1023.15,6.0,187.5,0.0775,0.3,3.146434245771203
2166.0,1023.15,6.0,187.5,0.0775,0.2,3.1464329376334854
2165.0,1023.15,6.0,187.5,0.0775,0.1,3.1464275872925422
2164.0,1023.15,6.0,187.5,0.055,0.5,3.146374609303153
