Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield,Normalized Weigth,Normalized Selectivity,Normalized Conversion,Normalized Yield,Overall Efficiency
6.0,873.15,4.0,150.0,0.0325,0.08750000000000001,4.147000000003674,1.3362289784867702,0.640433623969823,8.007436715784475,0.00016879672052070893,1.0,0.9940815000542015,1.0,2.994250296774722
7.0,873.15,4.0,150.0,0.0325,0.125,3.268500000002473,1.3355094010723423,0.6405823566857225,8.005590389157899,0.00021416551935122242,0.9994614864472983,0.994312363075434,0.9997694235131528,2.993757438555236
8.0,873.15,4.0,150.0,0.0325,0.16250000000000003,3.1162000000021517,1.3353881434427401,0.6406097936154913,8.005279148432379,0.0002246325653037407,0.9993707403015745,0.994354950696197,0.9997305545546376,2.9936808781177127
9.0,873.15,4.0,150.0,0.0325,0.2,3.06320000000204,1.3353462277287156,0.6406130846154117,8.00517155282102,0.0002285191956122793,0.9993393716404397,0.9943600589884775,0.9997171175940747,2.993645067418604
11.0,873.15,4.0,150.0,0.05500000000000001,0.08750000000000001,1.6715999999998323,1.3344009052923074,0.3786598604066384,8.002743929605092,0.00041876046901176737,0.9986319162180324,0.5877560889293383,0.9994139465167258,2.586220712133108
12.0,873.15,4.0,150.0,0.05500000000000001,0.125,1.5222999999998488,1.334284747627401,0.3786795893008872,8.002445496750292,0.0004598305196085329,0.998544986757007,0.5877867121322046,0.999376677055175,2.586168206463995
13.0,873.15,4.0,150.0,0.05500000000000001,0.16250000000000003,1.4873999999998526,1.3342579892845547,0.37867752040955016,8.002376744872599,0.00047061987360499496,0.998524961489424,0.5877835007976856,0.9993680910519215,2.586147173212636
14.0,873.15,4.0,150.0,0.05500000000000001,0.2,1.474599999999854,1.3342482125949418,0.37868064518279637,8.002351624621648,0.0004747050047470971,0.9985176448619819,0.5877883510728112,0.9993649539367818,2.586145654876322
16.0,873.15,4.0,150.0,0.0775,0.08750000000000001,1.1603999999998886,1.33406148162629,0.2687547848031958,8.001871797204968,0.000603240261978686,0.9983779001238733,0.417161356969124,0.9993050312132299,2.4154475285682055
17.0,873.15,4.0,150.0,0.0775,0.125,1.083799999999897,1.3340023986945293,0.2687622565864184,8.001719960600578,0.0006458756228086977,0.9983336839508132,0.41717295467604626,0.999286069264509,2.4154385835141774
18.0,873.15,4.0,150.0,0.0775,0.16250000000000003,1.0649999999998991,1.3339880567007811,0.2687715789326232,8.00168310210228,0.0006572769953052266,0.9983229507651249,0.417187424828069,0.9992814662311532,2.4154491188196525
19.0,873.15,4.0,150.0,0.0775,0.2,1.0578999999999,1.3339826630247538,0.2687618393357837,8.00166924039775,0.0006616882503072751,0.9983189142742883,0.4171723070193316,0.9992797351273027,2.4154326446712298
21.0,873.15,4.0,150.0,0.1,0.08750000000000001,0.9465999999999121,1.33392594615884,0.2082987324133363,8.00152347462387,0.0007394886963871383,0.9982764688051158,0.3233214319593485,0.9992615313276283,2.32159892078848
22.0,873.15,4.0,150.0,0.1,0.125,0.892299999999918,1.333884016088084,0.20830302933421335,8.001415707252821,0.000784489521461464,0.9982450893997661,0.32332810164281167,0.9992480729170441,2.3216057534810832
23.0,873.15,4.0,150.0,0.1,0.16250000000000003,0.8786999999999195,1.3338736163312621,0.2083078868903102,8.001388977519854,0.0007966313872767317,0.9982373064845701,0.32333564154463856,0.9992447348034983,2.3216143142199837
24.0,873.15,4.0,150.0,0.1,0.2,0.8735999999999201,1.333869728007734,0.20830846239312859,8.001378983585827,0.0008012820512821247,0.9982343965615026,0.3233365348404987,0.9992434867219484,2.321615700175232
31.0,873.15,4.0,187.5,0.0325,0.08750000000000001,3.3550000000026556,1.335115549366299,0.5125286119990549,8.004579343493514,0.00020864381520102713,0.9991667377834208,0.7955472548092284,0.9996431601781718,2.794565796586022
32.0,873.15,4.0,187.5,0.0325,0.125,2.4731000000007946,1.3345589107856033,0.5126188029639119,8.003149830436874,0.00028304557033673335,0.9987501635362989,0.7956872492852847,0.9994646369993594,2.7941850953912795
33.0,873.15,4.0,187.5,0.0325,0.16250000000000003,2.339300000000512,1.334478017965204,0.5126357253066688,8.00294203146844,0.0002992348138331325,0.9986896253937337,0.7957135161570454,0.9994386862518468,2.7941410626164593
34.0,873.15,4.0,187.5,0.0325,0.2,2.293700000000416,1.3344506989198555,0.512646707894332,8.002871850548058,0.000305183764223688,0.9986691805105674,0.7957305633369718,0.999429921784156,2.7941348493959186
36.0,873.15,4.0,187.5,0.05500000000000001,0.08750000000000001,1.4445999999998573,1.3340389843086478,0.30297003247491977,8.001813982491521,0.00048456320088610634,0.9983610636998739,0.4702702873207197,0.9992978110858035,2.468413725307283
37.0,873.15,4.0,187.5,0.05500000000000001,0.125,1.2724999999998763,1.3339356160614075,0.30297517576851635,8.001548327358895,0.0005500982318271656,0.9982837055158317,0.470278270744485,0.9992646350343334,2.4683767095264773
38.0,873.15,4.0,187.5,0.05500000000000001,0.16250000000000003,1.2350999999998804,1.3339136275993242,0.3029862827946072,8.001491814244776,0.0005667557282811658,0.9982672499064733,0.47029551107782214,0.9992575774557193,2.468387094168296
39.0,873.15,4.0,187.5,0.05500000000000001,0.2,1.221499999999882,1.333905679890918,0.30298149264329777,8.001471387372323,0.000573065902578852,0.9982613020423465,0.4702880758017514,0.999255026468034,2.468377470214711
41.0,873.15,4.0,187.5,0.0775,0.08750000000000001,1.0176999999999043,1.3338224068369893,0.2150281734378911,8.001257354035616,0.0006878254888474657,0.9981989825931583,0.3337668748246827,0.9992282971482399,2.3318819800549284
42.0,873.15,4.0,187.5,0.0775,0.125,0.9267999999999142,1.3337682587064912,0.21503231547242024,8.001118171107947,0.0007552870090635141,0.9981584595006571,0.33377330409345296,0.9992109154401342,2.3318979660433077
43.0,873.15,4.0,187.5,0.0775,0.16250000000000003,0.9055999999999166,1.3337558372649605,0.21503549494846427,8.001086241992294,0.00077296819787993,0.9981491636077146,0.3337782392782979,0.999206928007353,2.3319072990912453
44.0,873.15,4.0,187.5,0.0775,0.2,0.8977999999999174,1.3337512881340818,0.21503555627240217,8.001074548439256,0.0007796836711963293,0.9981457591531249,0.3337783344653554,0.9992054676707368,2.3319092449604133
46.0,873.15,4.0,187.5,0.1,0.08750000000000001,0.8352999999999243,1.3337340177513275,0.16664542186364875,8.001030154460599,0.0008380222674488968,0.9981328344351069,0.25866713542696035,0.9991999235771358,2.256837915706652
47.0,873.15,4.0,187.5,0.1,0.125,0.7700999999999315,1.333695130026788,0.1666505037735729,8.000930190123366,0.0009089728606675268,0.9981037318447833,0.2586750235709482,0.9991874396399183,2.2568751679163173
48.0,873.15,4.0,187.5,0.1,0.16250000000000003,0.7544999999999332,1.3336859602804478,0.16665371424882475,8.000906617993277,0.0009277667329358013,0.9980968694383486,0.2586800068727843,0.9991844958601638,2.2568891389042327
49.0,873.15,4.0,187.5,0.1,0.2,0.7486999999999339,1.3336825665783691,0.16665067618783533,8.00089789395536,0.000934953920128305,0.9980943296774742,0.2586752911924818,0.9991834063682045,2.2568879811582887
56.0,873.15,4.0,225.0,0.0325,0.08750000000000001,3.4602000000028776,1.3348736092100513,0.4271406611187461,8.003958096585547,0.00020230044506081092,0.9989856758844926,0.6630080202645233,0.9995655764357062,2.661761573029783
57.0,873.15,4.0,225.0,0.0325,0.125,2.1334000000000777,1.3341777519371203,0.42723946991014716,8.002170576606154,0.00032811474641416264,0.9984649138862616,0.6631613913367129,0.9993423439528482,2.6612967639222367
58.0,873.15,4.0,225.0,0.0325,0.16250000000000003,1.9907999999997972,1.3341081346933126,0.42724943797107123,8.001991684999892,0.00035161744022507106,0.9984128141002754,0.6631768637675554,0.9993200032697293,2.6612612985777853
59.0,873.15,4.0,225.0,0.0325,0.2,1.9435999999998024,1.3340853786869051,0.427249024489947,8.001933207826275,0.00036015641078414865,0.9983957840801412,0.6631762219618773,0.9993127004116871,2.6612448628644896
61.0,873.15,4.0,225.0,0.05500000000000001,0.08750000000000001,1.365699999999866,1.3338780226546652,0.25248411584137975,8.001400302799198,0.0005125576627371083,0.9982406040656538,0.39190601370936784,0.999246149148656,2.389905324586415
62.0,873.15,4.0,225.0,0.05500000000000001,0.125,1.1451999999998903,1.3337695589675604,0.2525022740442113,8.001121513388368,0.0006112469437653398,0.9981594325831827,0.39193419888396436,0.9992113328371789,2.3899162112480914
63.0,873.15,4.0,225.0,0.05500000000000001,0.16250000000000003,1.101799999999895,1.3337488727275022,0.25250432411453405,8.001068339611898,0.000635324015247837,0.9981439515238798,0.3919373810044924,0.9992046922881046,2.3899213488317246
64.0,873.15,4.0,225.0,0.05500000000000001,0.2,1.0863999999998968,1.3337415890572228,0.25250387869368274,8.001049616784611,0.0006443298969072778,0.9981385006091065,0.39193668962194866,0.9992023541082411,2.3899218742362036
66.0,873.15,4.0,225.0,0.0775,0.08750000000000001,0.9589999999999107,1.33370876730637,0.17919293704125222,8.000965246336444,0.0007299270072993381,0.9981139376401982,0.27814339688929207,0.9991918175968503,2.27617907913364
67.0,873.15,4.0,225.0,0.0775,0.125,0.8432999999999234,1.3336524222793171,0.17919812586425815,8.000820402240276,0.0008300723348749717,0.9980717704458326,0.2781514509838371,0.9991737288998916,2.276227022664436
68.0,873.15,4.0,225.0,0.0775,0.16250000000000003,0.8181999999999262,1.333640486725282,0.17920015892824182,8.000789719051557,0.000855536543632441,0.998062838178813,0.27815460670711417,0.9991698970633367,2.276242878492896
69.0,873.15,4.0,225.0,0.0775,0.2,0.8090999999999272,1.3336361874856182,0.17919733163392815,8.000778666753414,0.0008651588184403202,0.9980596207364936,0.2781502181789869,0.9991685168091385,2.2762435145430593
71.0,873.15,4.0,225.0,0.1,0.08750000000000001,0.7870999999999296,1.333640699978331,0.1388812875214313,8.000790267272095,0.0008893406174565654,0.9980629977720058,0.21557162750603584,0.9991699655272606,2.2136939314227586
72.0,873.15,4.0,225.0,0.1,0.125,0.7040999999999388,1.3336002549350923,0.1388819084116103,8.000686291325188,0.0009941769634995894,0.9980327297237223,0.2155725912521875,0.9991569806045446,2.213756478543954
73.0,873.15,4.0,225.0,0.1,0.16250000000000003,0.6854999999999408,1.3335913760201363,0.1388903199142828,8.000663464964891,0.0010211524434720065,0.998026084968146,0.21558564759226934,0.9991541299594372,2.2137870149633248
74.0,873.15,4.0,225.0,0.1,0.2,0.6786999999999416,1.3335881491301054,0.13889046663485186,8.000655169071553,0.0010313835273317523,0.9980236700451928,0.21558587533203488,0.9991530939358466,2.213794022840406
82.0,873.15,4.0,262.5,0.0325,0.125,1.9636999999998002,1.3339825492553221,0.3662332719368932,8.00166894801043,0.00035646992921529324,0.9983188291321207,0.5684675299839345,0.9992796986128312,2.5664225276581014
