Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
48.0,873.15,2.0,187.5,0.1,0.4,14.437999999997437,1.3394737100621816,0.16634295407407032,8.015748097623613
49.0,873.15,2.0,187.5,0.1,0.5,13.798999999997791,1.3391434892631628,0.16635927864343633,8.014903290772475
73.0,873.15,2.0,225.0,0.1,0.4,13.40599999999801,1.337965078882366,0.13868390095356853,8.01188660752268
74.0,873.15,2.0,225.0,0.1,0.5,12.612999999998449,1.337630065153641,0.13869902536559175,8.011028430591363
94.0,873.15,2.0,262.5,0.0775,0.5,14.231999999997551,1.3374063509618193,0.1534142248744951,8.01045522348343
98.0,873.15,2.0,262.5,0.1,0.4,12.93399999999827,1.337108440809127,0.11890419883711431,8.009691738928174
99.0,873.15,2.0,262.5,0.1,0.5,11.922999999998831,1.336746304938463,0.11892248882605759,8.008763394463006
119.0,873.15,2.0,300.0,0.0775,0.5,13.738999999997825,1.3367280200520482,0.13426285017659875,8.008716513063854
123.0,873.15,2.0,300.0,0.1,0.4,12.832999999998327,1.3365902591816816,0.10405807698995903,8.008363278505279
124.0,873.15,2.0,300.0,0.1,0.5,11.515999999999057,1.3361794705887051,0.10407376671238104,8.007309722453579
130.0,873.15,4.0,150.0,0.0325,0.1,3.6079999999997137,1.3357844505555465,0.6405665509443098,8.006296258770734
131.0,873.15,4.0,150.0,0.0325,0.2,3.059999999999774,1.335344300593583,0.640649004413212,8.005166605865538
132.0,873.15,4.0,150.0,0.0325,0.30000000000000004,3.0189999999997785,1.3353119714756685,0.6406520105859724,8.00508361580768
133.0,873.15,4.0,150.0,0.0325,0.4,3.0089999999997796,1.3353041076549759,0.6406328452639939,8.005063428737632
134.0,873.15,4.0,150.0,0.0325,0.5,3.00599999999978,1.3353017327518748,0.6406711787507277,8.005057332140678
135.0,873.15,4.0,150.0,0.05500000000000001,0.1,1.5889999999999358,1.334336560086961,0.37873121144242666,8.002578617250286
136.0,873.15,4.0,150.0,0.05500000000000001,0.2,1.4729999999999486,1.334247213728025,0.3787073494296171,8.002349058118577
137.0,873.15,4.0,150.0,0.05500000000000001,0.30000000000000004,1.4629999999999497,1.3342395808735452,0.3787301624091373,8.002329446079957
138.0,873.15,4.0,150.0,0.05500000000000001,0.4,1.46099999999995,1.3342380343026536,0.3787892967749646,8.002325472268083
139.0,873.15,4.0,150.0,0.05500000000000001,0.5,1.45999999999995,1.3342372793524824,0.3787730743675368,8.00232353247157
