,Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
1350,1759.0,973.15,15.0,150.0,0.0325,0.2,0.0056,1.3333370882089024,0.6442719278305805,8.000009655378781
1349,1758.0,973.15,15.0,150.0,0.0325,0.1625,0.0056,1.3333370882094513,0.644271349670929,8.00000965538019
1348,1757.0,973.15,15.0,150.0,0.0325,0.125,0.0056,1.3333370882108644,0.6442698600757011,8.000009655383835
1347,1756.0,973.15,15.0,150.0,0.0325,0.0875,0.0056,1.3333370882158202,0.6442646341391879,8.00000965539657
1346,1755.0,973.15,15.0,150.0,0.0325,0.05,0.0056,1.3333370882486313,0.6442300320537228,8.000009655480943
1741,2259.0,1023.15,12.25,150.0,0.0325,0.2,0.0089,1.3333385468265322,0.6432562091940692,8.000013406095412
1740,2258.0,1023.15,12.25,150.0,0.0325,0.1625,0.0089,1.333338546828393,0.6432547523082369,8.000013406100196
1739,2257.0,1023.15,12.25,150.0,0.0325,0.125,0.0089,1.333338546833184,0.6432509985732687,8.000013406112515
1738,2256.0,1023.15,12.25,150.0,0.0325,0.0875,0.0089,1.333338546849989,0.6432378288820799,8.000013406155727
864,1134.0,923.15,15.0,150.0,0.0325,0.2,0.0085,1.3333394870707258,0.6432102590158126,8.000015823854417
863,1133.0,923.15,15.0,150.0,0.0325,0.1625,0.0085,1.3333394870720436,0.6432094285231508,8.00001582385781
862,1132.0,923.15,15.0,150.0,0.0325,0.125,0.0085,1.333339487075437,0.6432072888511442,8.000015823866539
861,1131.0,923.15,15.0,150.0,0.0325,0.0875,0.0085,1.3333394870873383,0.6431997823625537,8.000015823897135
1737,2255.0,1023.15,12.25,150.0,0.0325,0.05,0.0089,1.3333385469612948,0.6431506236413451,8.00001340644194
860,1130.0,923.15,15.0,150.0,0.0325,0.05,0.0085,1.3333394871661497,0.643150080127053,8.000015824099796
2236,2884.0,1073.15,12.25,150.0,0.0325,0.2,0.0066,1.3333366245711784,0.6426931644211985,8.000008463171092
2235,2883.0,1073.15,12.25,150.0,0.0325,0.1625,0.0066,1.333336624572107,0.6426920298381046,8.000008463173481
2234,2882.0,1073.15,12.25,150.0,0.0325,0.125,0.0066,1.3333366245744978,0.6426891065097476,8.000008463179626
2233,2881.0,1073.15,12.25,150.0,0.0325,0.0875,0.0066,1.3333366245828824,0.6426788502013541,8.00000846320119
2232,2880.0,1073.15,12.25,150.0,0.0325,0.05,0.0066,1.333336624638413,0.6426109372902196,8.000008463343974
1250,1634.0,973.15,12.25,150.0,0.0325,0.2,0.0125999999999999,1.3333417432890216,0.6423001209339975,8.000021625522399
1249,1633.0,973.15,12.25,150.0,0.0325,0.1625,0.0125999999999999,1.333341743293064,0.642298162944217,8.000021625532792
1248,1632.0,973.15,12.25,150.0,0.0325,0.125,0.0125999999999999,1.333341743303474,0.6422931181399328,8.000021625559553
