Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
6.0,873.15,4.0,150.0,0.0325,0.08750000000000001,4.146200000003676,1.336228420490528,0.6404307946665444,8.00743528449137
7.0,873.15,4.0,150.0,0.0325,0.125,3.2681000000024722,1.3355091624756406,0.6405837131426383,8.005589776766294
8.0,873.15,4.0,150.0,0.0325,0.16250000000000003,3.115800000002151,1.3353879044297816,0.6406083556164537,8.005278534908442
9.0,873.15,4.0,150.0,0.0325,0.2,3.062900000002039,1.3353460644001907,0.6406184529898601,8.005171133557125
11.0,873.15,4.0,150.0,0.05500000000000001,0.08750000000000001,1.6713999999998324,1.3344007893455956,0.3786623209823965,8.002743631728777
12.0,873.15,4.0,150.0,0.05500000000000001,0.125,1.5220999999998488,1.3342846323146353,0.37867785583062885,8.002445200473227
13.0,873.15,4.0,150.0,0.05500000000000001,0.16250000000000003,1.4872999999998526,1.334257945454695,0.3786872065235674,8.002376632256535
14.0,873.15,4.0,150.0,0.05500000000000001,0.2,1.474399999999854,1.3342480975160802,0.3786773460239359,8.002351328936392
16.0,873.15,4.0,150.0,0.0775,0.08750000000000001,1.1602999999998886,1.334061430220196,0.26876031128975786,8.001871665100698
17.0,873.15,4.0,150.0,0.0775,0.125,1.083699999999897,1.334002347149016,0.26876614544879784,8.001719828130758
18.0,873.15,4.0,150.0,0.0775,0.16250000000000003,1.0647999999998992,1.3339879347131056,0.2687615991579611,8.001682788595433
19.0,873.15,4.0,150.0,0.0775,0.2,1.0577999999999,1.3339826114420963,0.2687651060700862,8.00166910783032
21.0,873.15,4.0,150.0,0.1,0.08750000000000001,0.9464999999999121,1.3339258907043692,0.2083009141232053,8.001523332098941
22.0,873.15,4.0,150.0,0.1,0.125,0.8921999999999181,1.3338839608086142,0.20830380495113598,8.001415565172692
23.0,873.15,4.0,150.0,0.1,0.16250000000000003,0.8785999999999196,1.333873561100818,0.20830827560389112,8.001388835564562
24.0,873.15,4.0,150.0,0.1,0.2,0.8734999999999201,1.3338696727960644,0.20830870228463982,8.001378841678253
